,Name,Email ID,Bank ID,Age,Location,Music preference,Risk,Net worth,Investment goals,Income per annum,Favorite Songs
1553,Sara Ortega,ericjackson@example.net,BID52234,29,"Lake Shannonfort, Nevada",emo,High,$388357,Child's education,$70604,"Emotional, Emotional Rescue - Remastered 2009, Emotions (feat. Muni Long)"
1554,Yesenia Robinson,carriewright@example.com,BID81083,29,"Christopherton, Wyoming",idm,Low,$92747,Child's education,$87483,"I'm Still Standing, Windowlicker, I miss you, I’m sorry"
1555,Amber Scott,mooneymichelle@example.com,BID89494,44,"Port Nathan, Vermont",brazil,Low,$178288,Child's education,$59604,"The Brazilian, BRAZILIAN FUNK, Brazilera - Remix"
1556,Katelyn Atkins,dianeking@example.org,BID34464,22,"Shanefurt, Utah",chill,High,$265328,Buy a new house,$26177,"Chill Waves & Wind in Leaves, chill, Chill Summer Rain"
1557,Robert David,kathrynrhodes@example.net,BID48483,58,"Hannahview, New Hampshire",death-metal,Low,$193110,Buy a new house,$21208,"Let 'Em Talk (feat. Eagles of Death Metal), Lack of Comprehension, Immortal Rites"
1558,Francisco Stephenson,ymoss@example.com,BID11488,60,"Jenkinschester, New Hampshire",minimal-techno,Low,$397326,Child's education,$76585,"Minimal Tech Pause - Original Mix, Electro, Electronics Minimal"
1559,Linda Young,xgoodman@example.org,BID62363,26,"Port Elaine, Wisconsin",blues,Low,$352710,Child's education,$95660,"Blues In The Closet, Roadhouse Blues, Blues For Alice"
1560,Sean Villegas,wardlisa@example.org,BID80071,29,"Stevenmouth, Texas",sleep,High,$118415,Child's education,$60701,"2055, Sleepwalking, sleep"
1561,Donna Bass,susan29@example.com,BID96973,55,"Williamshaven, Virginia",power-pop,High,$137004,Buy a new house,$24492,"Juice, YOU & I, Symphony"
1562,Gregory Holmes,brandon57@example.net,BID30224,56,"Kaitlinshire, Maryland",indian,Low,$94131,Travel,$28254,"Indian Sunset, Kulfi, Indian Love Call"
1563,Candice Bullock,evansmarilyn@example.org,BID49061,52,"North Sergiofurt, Hawaii",electronic,Low,$293905,Retirement savings,$65579,"Electronic, Electronic Girl, Electronic Spectrum"
1564,John Garner,darlene90@example.org,BID35451,55,"North Peterburgh, Rhode Island",sad,High,$213246,Child's education,$24685,"Sad But True (Remastered), Sad Disco, Sad"
1565,Jesse Garcia,brittany29@example.org,BID76585,42,"South Jessicaside, Connecticut",progressive-house,High,$210330,Buy a new house,$71020,"Progressive House - Relaxation for Developers, Depth Lifting, Vivaldi Winter - Progressive House Remix"
1566,John Castaneda,fmcintyre@example.com,BID61150,39,"Ochoaberg, Oregon",idm,Low,$201219,Travel,$44485,"Hate, I'm Not Okay (I Promise), Look At What I'm Doing To You"
1567,Michael Moody,fweiss@example.org,BID15519,21,"North Chadmouth, Delaware",british,High,$107162,Retirement savings,$42754,"Brazil, british backyard, British Columbia - Canadian American"
1568,Crystal Weiss,diamond45@example.net,BID96125,34,"Lake Kristenville, Texas",happy,Low,$292212,Child's education,$88253,"Happy Instead, Happy Birthday Song, Happy Does"
1569,Ronald Waters,micheleevans@example.net,BID48535,53,"Reynoldschester, Oklahoma",detroit-techno,Low,$290903,Retirement savings,$66814,"Shake It Baby, Return of the Dragons, Jaguar"
1570,Christina Richards,beckrussell@example.com,BID92403,43,"Briggsberg, Delaware",metal,Low,$450281,Buy a new house,$94424,"Mëtal On Livë, METAL PIPE FALLING, Nothing Else Matters (Remastered)"
1571,Wendy Flores,sbrooks@example.net,BID25669,20,"Reedview, Illinois",trip-hop,High,$463456,Buy a new house,$91181,"Trip Hop Jazz, Trip-Hop, Trip Hoppin'"
1572,Marcus Lawrence,ygomez@example.net,BID51528,28,"South Jean, Arizona",electro,Low,$107037,Retirement savings,$30434,"electro-dembow, Electro Theme - Edit Version, Electroman Adventures"
1573,Wendy Jarvis,donald59@example.com,BID35451,56,"South Elizabeth, Pennsylvania",show-tunes,High,$31449,Buy a new house,$28151,"Theme from ''desperate Housewives'' (Main Theme), Show Tunes, Grilled Cheese (feat. Billy West)"
1574,Noah Bryant,patrick16@example.net,BID67635,41,"Phillipchester, Mississippi",british,High,$119708,Buy a new house,$71613,"British Columbia - Canadian American, Win Some Lose Some, BRITISH GIRL (inlove)"
1575,James Brown,esantiago@example.net,BID97121,19,"Huntertown, Maryland",industrial,Low,$473877,Travel,$64951,"Industrial Discipline, Industrial Disease, Industrial Fan"
1576,Marcus Nunez,stanleyromero@example.org,BID98248,24,"East Joseph, Alaska",french,High,$330245,Retirement savings,$69446,"French, French National Anthem, Hometown"
1577,Luis Smith,uhill@example.org,BID50608,51,"Jacobchester, Arkansas",forro,High,$57284,Retirement savings,$52179,"FORRO NA MINHA CASA, Forró, Forró com Rave"
1578,William Harper,fmiller@example.org,BID97171,30,"South Katrina, Ohio",happy,Low,$90607,Retirement savings,$41451,"Happy Fools (feat. Coi Leray), Happy Birthday To You - Classic Version, Happy Does"
1579,Ronald Stout,cmayo@example.net,BID93214,22,"Smithmouth, Mississippi",sad,Low,$150453,Child's education,$27339,"$AD BOYZ II, Sad But True (Remastered), Saddy Daddy-O"
1580,Tonya Miller,vwilson@example.com,BID63664,58,"Forbesland, Louisiana",j-rock,Low,$441686,Buy a new house,$89763,"A High Sunrise, 246, Wake Me Up"
1581,Anna Smith,hpage@example.org,BID20528,24,"Millsstad, Utah",show-tunes,High,$147940,Child's education,$34349,"Theme from ''desperate Housewives'' (Main Theme), Bears Fight Song (Bear Down Chicago Bears), I'm a Martian"
1582,Joshua Jackson,browntim@example.com,BID53021,48,"West Justinside, Wyoming",romance,High,$207489,Child's education,$29008,"romance, Romance, Romance The Rain"
1583,Daniel Gomez,iallen@example.com,BID32053,58,"North Edward, Florida",electro,High,$115169,Buy a new house,$65713,"Electromix Volumen 5, Electro Theme - Edit Version, Electrostatic"
1584,Nancy Best,ningram@example.org,BID28452,60,"East Billyshire, Mississippi",blues,High,$401480,Buy a new house,$27761,"But Anyway, BLUES, Blues Boys Tune"
1585,Jamie Sullivan,qrodriguez@example.net,BID91012,37,"Davidburgh, Idaho",salsa,High,$256217,Retirement savings,$30619,"Déjame Un Beso, Salsa Caliente - Versión Aumentada, Valió la Pena - Salsa Version"
1586,Andrew Webb,basskatie@example.com,BID41546,29,"Fostertown, Iowa",piano,High,$30630,Child's education,$33502,"Piano In The Dark, Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile, Piano Bedtime"
1587,Cathy Gibson,jstevens@example.org,BID68079,18,"North Shanechester, Illinois",heavy-metal,Low,$322774,Retirement savings,$45879,"Heavy Metal Skies, Heavy Metal Wings, Heavy Metal Maniac"
1588,Roy Rodgers,derrick55@example.net,BID87963,24,"New Jennifer, Illinois",sleep,High,$354297,Travel,$81569,"Sleepy Bedroom Noise, sleep, Sleep Deprivation"
1589,Zachary Garcia,wilsontina@example.net,BID94475,65,"West Tammy, Colorado",chill,High,$347979,Child's education,$88679,"Chills (LA Hills), Chillin' It, Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz)"
1590,Ryan Soto,ygarcia@example.com,BID55647,23,"Moyerborough, New York",salsa,Low,$362530,Child's education,$41425,"Salsa de Ahora, Conteo Regresivo - Salsa Version, Salsa y Dembow"
1591,Melissa Walters,johnsonmatthew@example.org,BID28875,24,"Ashleychester, Maryland",forro,High,$299688,Buy a new house,$75102,"Piseiro Tocando Alto, FORRO, Espumas ao Vento - Forró Viral"
1592,Robert Jones,jacobsimmons@example.com,BID19975,58,"Dominguezmouth, Louisiana",ska,High,$114837,Travel,$96061,"Skandal im Sperrbezirk, Skandinaviska Nätter, Skateboard P (feat. Big Sean)"
1593,Dr. Karen Campbell,ayersnathaniel@example.org,BID35275,36,"South Michelleshire, Idaho",power-pop,High,$155303,Travel,$52984,"Pop Muzik, Overpowered, Don’t Start Now"
1594,Teresa Hull,qmartinez@example.net,BID12653,53,"Jensenbury, Maryland",metal,High,$313113,Child's education,$67363,"Metal Crusher, The Metal, Enter Sandman (Remastered)"
1595,Mark Rogers,gregory67@example.org,BID54519,22,"East Alison, Kentucky",turkish,Low,$261082,Retirement savings,$82193,"Turkish Blood Orgy, Turkish Bath, Queen Of The Night - Turkish Coffee Remix"
1596,Ashley Contreras,austin40@example.net,BID42948,61,"North Williamton, Hawaii",british,Low,$466472,Child's education,$30640,"Britical, Win Some Lose Some, British People"
1597,Jordan Johnson,jessephillips@example.net,BID29932,52,"North Ryanchester, Utah",breakbeat,Low,$167979,Travel,$37681,"Break Bread Together, Sarah Missing, Romances 5 Breakbeat - Radio Edit"
1598,Timothy Taylor,sean51@example.org,BID53915,40,"West Bradport, Alaska",pagode,Low,$401898,Buy a new house,$40950,"Insegurança - Ao Vivo, Pagode Puro - Ao Vivo, Pagode em Bras!lia"
1599,Jeffrey Richardson,susan00@example.net,BID47066,60,"East Alexandra, Alaska",dubstep,Low,$97023,Travel,$43711,"Fur Elise (Dubstep Remix) [Beethoven Drum Bass Garage], DubStep, Artificial Dubstep"
1600,Taylor Watson,greenkyle@example.net,BID89269,58,"Rebeccaberg, Rhode Island",k-pop,High,$57002,Child's education,$81443,"K-POP - Chopped & Screwed, The Gummy Bear Song (K-Pop Version), S-Class"
1601,Claudia Marquez,thomas31@example.org,BID75970,18,"Velasquezfurt, Oklahoma",electronic,High,$388483,Travel,$99167,"Electronics Minimal, Electronic Movie Theme, Electronic Lover"
1602,Jordan Garcia,bensonalice@example.org,BID43262,42,"South Brian, Ohio",dubstep,High,$485377,Buy a new house,$22365,"Fur Elise (Dubstep Remix) [Beethoven Drum Bass Garage], Dubstep Dub, Dubstep (feat. Scrufizzer)"
1603,James Scott,melaniesharp@example.net,BID89311,28,"Port Jasonton, Alabama",electro,Low,$267584,Child's education,$64963,"エレクトロ・ワールド, Electrodynamix, Electro Swingity"
1604,Carrie Yu,barrycoleman@example.com,BID84582,56,"Oneillshire, South Dakota",study,High,$217326,Retirement savings,$54077,"Study Music for Focus (Alpha Waves), Studying Politics, Study Break"
1605,David Owens,megan12@example.net,BID64559,24,"Richardsonstad, Maryland",j-pop,Low,$80789,Child's education,$62012,"Jah Jah Protect Me, Jungle Justice, 好き好き大好き - 2016 Remaster"
1606,Dalton Herring,burgesswilliam@example.com,BID47826,18,"Lake Marc, Vermont",disco,High,$447471,Retirement savings,$30019,"LoveGame, Disco Boom, Disco Duck"
1607,Mark Baker,mckenzie46@example.net,BID79585,42,"South Andrew, Texas",dubstep,High,$161876,Buy a new house,$37280,"Dubstep, Dubstep (feat. Scrufizzer), Dubstep Jam"
1608,Janice Wiggins,drose@example.com,BID65921,19,"New Brian, New Mexico",pop,Low,$287424,Travel,$43550,"Pop That, Pop Out (feat. Nardo Wick), POP!"
1609,Richard Washington,henrywright@example.net,BID68412,26,"West Amandatown, Montana",dubstep,High,$300455,Buy a new house,$42853,"Sandstorm (Dubstep Remix), Fur Elise (Dubstep Remix) [Beethoven Drum Bass Garage], Dubstep Fantasy"
1610,Jo Romero,jordanthomas@example.com,BID66056,24,"East Samanthahaven, Maine",death-metal,High,$282611,Travel,$45656,"Flesh and the Power It Holds, DEATH METAL, Death Metal Warmachine"
1611,Jimmy Woods,jameswilson@example.com,BID20165,24,"Annetown, South Dakota",hardcore,High,$222182,Travel,$80206,"Hardcore Country (Bonus Track), Hardcore Drugs, Hardcore Power"
1612,Micheal Hamilton,angiekoch@example.com,BID75062,38,"South Jennifershire, Michigan",hip-hop,High,$238980,Travel,$24302,"Hip Hopper (feat. Lil Yachty), Hip Hop Be Bop (Original Version), Hip Hop Star (feat. Big Boi & Sleepy Brown)"
1613,Tara Valentine,lisa77@example.org,BID28213,25,"Brookeland, Washington",turkish,Low,$484018,Buy a new house,$45121,"Turkish March but Phonk, Turkish Delight - Narnia Album Version, Karina"
1614,William Freeman,kwilliams@example.net,BID79293,43,"Nguyenborough, Illinois",latin,Low,$312254,Buy a new house,$68282,"Latin, Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita), Latinas heroes"
1615,Sara Carter,carriesanders@example.net,BID61317,26,"Christopherland, Hawaii",children,Low,$83191,Retirement savings,$23611,"Children of Children, Children - Full Length, If You Want Peace... Prepare For War"
1616,John Berry,ralphgomez@example.net,BID22989,55,"Russellfort, Texas",black-metal,High,$58535,Buy a new house,$23933,"Black Metal Veins, Prayer, Paint It Black (Metal Version)"
1617,Jesse Brown,hughesalan@example.net,BID73129,51,"Aliciachester, Wyoming",metal,High,$71387,Child's education,$45619,"METALI!! - feat. Tom Morello, Master of Puppets (Remastered), Mëtal On Livë - Slowed"
1618,Elizabeth Moon,davisjames@example.com,BID77363,49,"Woodberg, New Mexico",soundtracks,High,$399189,Buy a new house,$50219,"Soundtrack to the Struggle, Nevermore Episode 42 ""Duet in Death"" (WEBTOON Original Soundtrack), The Pelican Brief"
1619,Marcus Melton,grace39@example.net,BID82096,60,"Port Victoria, Nevada",j-dance,Low,$423380,Child's education,$25160,"Big Jet Plane, Leave Her Johnny (Sea Shanty), Dream on"
1620,Zoe Hodge,zdiaz@example.org,BID68007,52,"Lake Daniel, Michigan",groove,High,$428980,Travel,$52423,"Groovejet (If This Ain't Love) [feat. Sophie Ellis-Bextor] - Purple Disco Machine & Lorenz Rhode Remix, Last Time We Kissed, Groove Back"
1621,Alexis Nash,vrodgers@example.org,BID44430,55,"Port Peter, Missouri",trip-hop,Low,$376928,Buy a new house,$49744,"Stimulate To Emulate, Again - Trip Hop Mix, Domination"
1622,Angela Zamora,jamieball@example.org,BID74071,19,"New Emily, Mississippi",soul,High,$287454,Child's education,$79147,"We Ride, SoulFly, Soulshine"
1623,Edward Smith,edwardpayne@example.com,BID46673,36,"Lake Jimmy, Iowa",world-music,Low,$408572,Child's education,$99048,"Anthem of the World, Big Strong Man, Global Musik"
1624,Richard Kirby,jessicalopez@example.org,BID25628,32,"Port Royland, Mississippi",reggaeton,Low,$64705,Buy a new house,$52069,"Dembow y Reggaeton, Bailemos Reggaeton, Reggaeton"
1625,Deborah Williams,gabriellemorris@example.org,BID23177,52,"Port Reneefort, Wyoming",acoustic,High,$52862,Retirement savings,$32648,"Snooze (Acoustic) (feat. Justin Bieber), What Do You Mean? - Acoustic, Creep - Acoustic"
1626,Sherri Smith,ikramer@example.com,BID28250,65,"West Davidbury, Virginia",work-out,High,$32334,Retirement savings,$74931,"WorkOut, WORK OUT, Workout Song"
1627,Mrs. Nicole Ortega MD,tamara72@example.com,BID45641,24,"Zacharyside, Utah",pagode,Low,$336135,Buy a new house,$92197,"Pagode em Brasília/ Pagode/ Falou e Disse/ Mini-Saia/ Passa Moreno, Lapada Dela - Ao Vivo, Pagode na praça"
1628,Veronica Allen,jason28@example.org,BID22677,55,"Gonzalezchester, Oregon",bluegrass,High,$125115,Retirement savings,$33799,"Bluegrass Concerto, Feuding Banjos, Bluegrass Instrumental"
1629,Samantha Curtis,onavarro@example.com,BID35548,25,"New Christopherville, Alaska",trip-hop,High,$141255,Buy a new house,$38829,"Trip - Spanish Version, Trip Hop Jazz, Domination"
1630,Heather Gonzalez,taramiller@example.net,BID31306,42,"South Patrick, South Dakota",acoustic,High,$129668,Travel,$57028,"Acoustic Levitation, Point of View, Push On"
1631,Jeremy Lewis,villarrealkristin@example.com,BID85992,63,"North Patrickhaven, New Hampshire",soul,High,$481358,Travel,$99367,"lost souls (with Brent Faiyaz), Soul Cry, Pretty Boy Swag"
1632,Jacqueline Berry,marcus76@example.org,BID74725,53,"Port Jennifer, Tennessee",party,High,$289854,Child's education,$55712,"Belong to the City, After Party, Party O'Clock"
1633,Christopher Williams,uhill@example.org,BID97938,50,"South Willieview, South Carolina",alt-rock,High,$179461,Travel,$82626,"Epic, Outside Woman Blues, Oggy"
1634,Leslie Chavez,smithbrandy@example.com,BID48162,19,"North Rachel, Kansas",j-dance,High,$469754,Child's education,$63691,"You Know the Vibes, Awesome God, CRAZY"
1635,Randall Krause,laurarios@example.net,BID25513,51,"West Sarah, Nevada",j-dance,Low,$354546,Buy a new house,$29567,"PARTY, Leave Her Johnny (Sea Shanty), Petting Zoo Justice"
1636,Lisa Nguyen,josephmurphy@example.org,BID86565,40,"Garciaburgh, Massachusetts",indie,Low,$60859,Buy a new house,$99651,"Indie Movie Night 1, STILL HOLY, ACT"
1637,Janice Thompson,owensalex@example.com,BID21287,20,"South Dawnborough, Delaware",soundtracks,Low,$494613,Buy a new house,$94929,"Up Where We Belong - From ""An Officer And A Gentleman"", I've Got a Dream - From ""Tangled""/Soundtrack Version, Anthem of Inspiration"
1638,Jodi Dean,brownjames@example.net,BID77835,50,"Lake Brittneymouth, Utah",blues,High,$259474,Travel,$88128,"Blue's Clues & You Theme Song, Blues Run the Game - 2001 Remaster, BlueSkies&AutomaticWeapons"
1639,Scott Roy,lawrencebrandon@example.org,BID49202,26,"North Stacey, Iowa",j-rock,High,$39227,Child's education,$65706,"J Rock Skit, Meraih Mimpi, Ceria"
1640,John Brown,wrogers@example.com,BID23199,37,"Jacobside, Connecticut",gospel,Low,$223521,Child's education,$28885,"Gospel19, Gospel For A New Century, Gospel Ship"
1641,Justin Cline,callahanphilip@example.org,BID15360,50,"Chambersstad, Wisconsin",road-trip,Low,$162748,Buy a new house,$46294,"Road Trip, road trips avec bae, Cadillac Ranch"
1642,Lydia Clayton,shawjerome@example.org,BID66657,63,"South Josephfurt, Idaho",reggaeton,High,$224800,Retirement savings,$22482,"Baila Reggaeton, Baila Riddim, Bailemos Reggaeton"
1643,Glenn Adams,deanstephen@example.com,BID50510,30,"East Donnafort, South Carolina",rainy-day,High,$375403,Buy a new house,$35723,"Rainy Day, Dream Away, rainy day :/, Rainy Days (feat. Eminem)"
1644,Shirley Perry,gonzalezkathy@example.net,BID31373,23,"East Miguel, New York",k-pop,Low,$383596,Travel,$76017,"k-pop star, S-Class, K-Pop Cupid Lagosian - Freestyle"
1645,Ryan Frost,edwardmiller@example.net,BID10248,47,"North Ricky, New Mexico",movies,Low,$187797,Child's education,$91227,"The Movies, movies, Movies"
1646,Alexander Wilkinson,kristaluna@example.org,BID36946,62,"Williamstad, Maryland",idm,High,$277287,Retirement savings,$36022,"I Miss You, I'm Good (Blue), idontwannabeyouanymore"
1647,Gerald Townsend,cindysalas@example.net,BID65151,60,"Wilcoxstad, New Mexico",reggae,Low,$438217,Travel,$74669,"Reggae reggae, Sweet Reggae Music, Reggaeton Latino (feat. Don Omar)"
1648,Larry Hernandez,bruce11@example.net,BID12965,22,"South Justin, Florida",funk,High,$207090,Buy a new house,$31839,"Funky Monks, Funkdafied, Funky Friday"
1649,Marisa Johnston,mark13@example.org,BID95835,48,"Johnsonchester, Nebraska",brazil,High,$107412,Child's education,$30167,"RITMADINHA DANÇANTE, The Brazilian, Brazil Phonk Powww - (Slowed Down & Bass Boosted)"
1650,Heather Martinez,fisherkristina@example.org,BID74165,49,"Karenburgh, Kentucky",turkish,High,$407711,Buy a new house,$82845,"Turkish Mafia 3 (Deep Saz Drill), Low Lives, Turkish Mafia"
1651,Rebecca Rodriguez,yjames@example.org,BID54944,33,"Leetown, New Jersey",british,Low,$487233,Buy a new house,$58587,"British Columbia, Patisserie Skills, Beautiful Faces"
1652,Adam Long Jr.,larsonmichelle@example.net,BID93460,18,"Boydton, South Dakota",goth,Low,$337755,Child's education,$80267,"Goth (Sped up + Reverb), Mia Goth, I Wanna Help Your Mind"
1653,Caitlyn Townsend,zparrish@example.org,BID82522,38,"Hooperland, Washington",happy,High,$71702,Buy a new house,$71319,"Happy Birthday To You - Classic Version, Happy?, Happy Anywhere (feat. Gwen Stefani)"
1654,Molly Larson,jessicabecker@example.com,BID61182,61,"South Karenmouth, West Virginia",psych-rock,Low,$451070,Travel,$93894,"Messe pour le temps présent: 2. Psyché rock, Rage Attack, Moon Watching"
1655,Christopher Bolton,mary63@example.com,BID13592,51,"Michaelside, Hawaii",road-trip,High,$73890,Buy a new house,$29665,"ROAD-TRIP, Road Tripping, Roadtrip"
1656,Lisa Wilson,jody29@example.net,BID92035,51,"West Davidberg, Delaware",classical,High,$62436,Retirement savings,$97597,"classical phonk - Slowed + reverb, classical phonk - Sped up, Piano Concerto No. 21 in C Major, K. 467: II. Andante"
1657,Carla Jenkins,nicholascarney@example.org,BID70704,60,"West Donald, Kentucky",pop-film,High,$327691,Buy a new house,$31149,"AP - Music from the film Boogie, Beauty and the Beast, A Whole New World"
1658,Ashley Baker,susan06@example.org,BID94826,26,"Sarahborough, Michigan",j-rock,High,$183464,Retirement savings,$80918,"J rock, Patience (feat. Jrock & South), Fallin' In Love"
1659,Chad Houston,brittanyzamora@example.org,BID87427,38,"West Melissaberg, Florida",dance,High,$363656,Buy a new house,$82975,"Dance Till You're Dead, Dance, Baby!, Dance Now (feat. Kenny Mason)"
1660,Matthew Foster,cmcclain@example.com,BID39208,62,"Port Amychester, Louisiana",club,Low,$249651,Retirement savings,$76506,"Love in This Club, Club Cooter: Reloaded, Redneck Yacht Club"
1661,Paul Barnes,khernandez@example.org,BID99152,33,"Port Matthewside, Massachusetts",indian,Low,$363467,Travel,$70100,"Indian Teamwork, Mundian To Bach Ke, Indian Sunset"
1662,Becky Smith,keith26@example.org,BID46001,56,"Nicholasside, Maryland",k-pop,High,$344338,Travel,$63795,"RM vs. Suga vs. J-Hope, The Gummy Bear Song (K-Pop Version), K-POP"
1663,Janet Moore,wwolf@example.com,BID22688,56,"North Amyview, Arizona",k-pop,Low,$37405,Retirement savings,$44947,"Queencard, K-POP, K-POP - Sped Up"
1664,Ashley Taylor,younglinda@example.com,BID63170,23,"Turnermouth, Wisconsin",trance,High,$395611,Child's education,$28744,"Trance - Sped Up Outro, Exposure, Trance - Instrumental"
1665,Bradley Lucas,rowlandbernard@example.net,BID62769,26,"Annetteland, Connecticut",dubstep,High,$250160,Buy a new house,$88619,"BRAZILIAN DUBSTEP FUNK, Dubstep (feat. Scrufizzer), Dubstep Killed Rock 'n' Roll"
1666,Megan Young,amanda18@example.net,BID70818,34,"East Jacqueline, Utah",trance,High,$130288,Travel,$33131,"Exploration Of Space, Trance (feat. Karlae & Yung Bleu), trance - slowed + reverb"
1667,Dennis Fisher,wilkinstanya@example.org,BID98388,22,"Bryantborough, Oklahoma",world-music,Low,$108176,Retirement savings,$73834,"Global Musik, A Whole New World (Music Box), It's a Small World (Music Box)"
1668,Walter Bowen,martin22@example.net,BID81551,40,"Brownchester, New Jersey",k-pop,High,$366539,Travel,$48309,"k-pop - sped up, k-pop star, K-Pop Cupid Lagosian - Freestyle"
1669,Michelle Holland,michelerogers@example.net,BID32444,49,"Donaldtown, Pennsylvania",electronic,High,$56431,Child's education,$43989,"Electronic Dream, Electric Radioland, Electronic Emotion - Original Mix"
1670,Rebecca Hart,alexander33@example.org,BID27819,35,"West Jenniferside, Missouri",cantopop,Low,$388655,Child's education,$43926,"心急人上, 成就感, 無表面傷痕"
1671,Karl Wheeler,michaelparker@example.net,BID44955,48,"Lake Drewton, Ohio",cantopop,High,$345047,Retirement savings,$53191,"成就感, 3AM, 初戀"
1672,Alicia Flores,laura47@example.com,BID26803,22,"West Jamesville, Pennsylvania",kids,High,$26065,Travel,$26062,"Kids Are Born Stars, Kids See Ghosts, Kids Fallin' In Love"
1673,Anthony Weber,bortiz@example.net,BID95327,59,"Lake Christinaport, Alaska",punk,High,$367940,Buy a new house,$30866,"Punk Rock Song, Punk, Punk Police (unknown virus 5.)"
1674,Luke Smith,lmoore@example.org,BID42077,31,"Juarezshire, Texas",bluegrass,Low,$473554,Child's education,$68469,"Bluegrass Is... (Reprise), This Heart Of Mine, Tramp on the Street"
1675,Tamara Vargas,lcampbell@example.org,BID18699,48,"Smithside, Ohio",power-pop,High,$236304,Travel,$33318,"Rather Be, Higher Power, Symphony"
1676,Ashley Davis,thardy@example.net,BID43250,51,"Lake John, Pennsylvania",dubstep,Low,$463388,Retirement savings,$97836,"Artificial Dubstep, Dubstep Tractor, dubstep"
1677,Christina Garcia,xmoore@example.org,BID64017,30,"Matthewhaven, Alabama",blues,High,$178782,Travel,$71697,"Summertime Blues, Bluesette, Blues (Fast) - False Starts 372-1/2/3"
1678,Richard Morgan,nguyenrodney@example.org,BID82309,53,"Port Kendrastad, California",samba,High,$32553,Retirement savings,$31795,"Samba De Amigo, Samba de Verao, Magalenha"
1679,Alexa Parker,johnrodgers@example.org,BID49643,46,"Port Thomasborough, Colorado",detroit-techno,High,$198089,Travel,$41368,"Welcome to Detroit (feat. Eminem), Detroit, Detroit Electronica"
1680,Lisa Thomas,saramartin@example.net,BID41953,56,"Cainstad, South Carolina",party,High,$210270,Buy a new house,$43361,"PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean & Laetitia Sadier), Party In The U.S.A., Party Like A Rock Star"
1681,Keith Landry,stacyfernandez@example.org,BID36667,37,"West Bethany, Massachusetts",reggae,High,$163736,Buy a new house,$49912,"Reggaeton Latino (feat. Don Omar), Reggaeton, Melô De Carla Cintia (Reggae Remix)"
1682,Christina Frederick,zruiz@example.com,BID36839,65,"Olsontown, Virginia",synth-pop,High,$499470,Retirement savings,$74723,"Lesson, Synthpop Paradise, Kiss (feat. Tom Jones)"
1683,Margaret Murray,craigmcdonald@example.net,BID65893,49,"North Olivia, Texas",disney,Low,$371736,Retirement savings,$47043,"Disney, Disney Medley #6: Part of Your World / I See the Light / Ev'rybody Wants to Be a Cat, Once Upon a Dream"
1684,Kerry Christensen,tlang@example.org,BID97906,58,"Murrayberg, Arkansas",movies,High,$98150,Retirement savings,$41123,"You Can Do It, Mouthful of Diamonds, Movies Like Juno"
1685,Maria Sanders,jramsey@example.net,BID95336,24,"West Jasmine, New Jersey",j-dance,Low,$232091,Child's education,$94225,"PARTY, Dream on, Jesus H. Macy"
1686,Brianna Lucas,matthewgrant@example.com,BID61530,41,"South Danielle, Alaska",alternative,High,$446293,Retirement savings,$38462,"Since I Don't Have You (Alternative Take), Alternative Rush, Alternative"
1687,Maria Morgan,ksteele@example.org,BID96486,49,"Julieton, Delaware",indian,Low,$196405,Travel,$95095,"Indian Love Song, Indian Love Sosa, Indian Reservation (The Lament of the Cherokee Reservation Indian)"
1688,Courtney Moore,bclarke@example.net,BID63326,20,"East Robertberg, Nebraska",brazil,Low,$169847,Retirement savings,$28453,"TOMA TOMA TOMA, Brazilian Soul (feat. Sofi Tukker), BRAZILIAN DUBSTEP FUNK"
1689,Maria Ellis,burkeadam@example.net,BID74236,60,"North Edward, North Carolina",k-pop,High,$214986,Retirement savings,$42804,"K-POP (HARDSTYLE), Super Shy, Don't Know Em (feat. Rah Swish)"
1690,Sonya Ward,brianprice@example.com,BID49726,39,"Ericaside, Kansas",malay,High,$264752,Buy a new house,$49614,"Malayo Ka Man, Anmbezhum Aayudham (From ""Leo (Malayalam)""), Love You Bad (feat. Malaya & Phoelix)"
1691,Kenneth Frank,reginazhang@example.net,BID68365,56,"Foxside, Oklahoma",metalcore,High,$337501,Buy a new house,$95672,"Metalcore, Move Bitch, Dragonborn"
1692,Victoria Peterson,lyonsalexis@example.net,BID62926,49,"North Saraland, Maryland",dancehall,Low,$397284,Buy a new house,$48244,"Dancehall King, Dancehall Mafia, Dancehall Baddest Ting"
1693,Maria Williams,kathy94@example.org,BID82823,43,"Port Nancy, Pennsylvania",brazil,Low,$133021,Travel,$77579,"Brazil Phonk Powww, Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version, BRAZILIAN DANÇA PHONK - Remix"
1694,Michael Butler,michael30@example.net,BID52680,52,"Scottview, Vermont",progressive-house,High,$149809,Child's education,$51758,"Prince Boozy, Progressive House Set - Dj Continuos Mix by Johnny M, Constellations (2021) - Mixed"
1695,Amber Brown,leon33@example.org,BID19271,51,"Sabrinaview, New Jersey",club,High,$281380,Retirement savings,$52032,"club heaven, Club Can't Handle Me (feat. David Guetta), CLUB SANDWICH"
